4.5	4	3.25	5.25	2.25	3.75
5.25	3	6.75	3.5	1.25	1.75
7.5	7.5	7.5	7.75	6.5	8
5.5	3	4.25	3.75	1.5	4
4	6	3.75	6	1.75	4.5
6.25	8.75	3.75	6.75	1	5
6.25	6.25	6.25	5.75	3.25	6.5
5.25	5.25	4.25	5.75	2.75	4
6.75	8	5.5	6.5	2	4.75
8.75	8	6.5	8.75	2.5	7.75
7.75	7	7.25	7.5	3.5	5.75
5	6.75	4.5	7.25	1	2.25
4.75	5.5	6	6.75	2	4.25
7.25	6.5	3.5	6.5	2.75	4
8.75	8	8.5	8	7	8.75
8.5	8.25	4.5	7.75	1.75	7.25
7	5.5	6	6	1.75	2
6.75	6.75	5.75	6	7.75	6.5
10	10	6.5	9.75	2.25	9.25
8	6	2.25	7	2.75	3.75
7.75	9.25	6	8.5	3	6.75
9.75	8	7.75	7.75	3.75	5.75
6.75	6.5	7	8.25	1.75	4
4.75	8	2.75	7	1	4.75
7.25	7	3.25	6.75	1	3
6	3.25	4.5	8	1	4.75
8.75	8	4.25	8	2.5	8
10	7.25	3.75	6.25	1	8.5
6	7.75	5.5	8.25	2	4
6.75	9	2.5	8.25	1	6.75
6.5	6.5	4	6.75	1.25	6.25
4	2.5	1.5	5	1.25	4
9.5	7.5	8.25	9	2.5	8.25
7.25	7.5	5.75	6.5	4.25	5
5.25	5.75	4.5	7.75	1	6.25
6.5	6	6.25	6.25	2.25	4
6	6.25	4.25	4.5	4.25	3.5
4.5	4.25	5.25	5.25	3.25	4.25
3	4.75	1.5	3.25	1.5	2
6.5	6.5	7.75	6.5	4.25	6.25
2	3.75	4.75	4	2	4.75
8.5	7.75	5.25	7	2	8
7.5	7.25	5.25	6.5	2.5	4.75
6.75	5.75	3.75	6.5	2	5.25
6.5	6.5	5.5	6.75	3	6.25
6.25	6.25	6	8.25	3.75	5.5
6	5.5	3.5	5	2	5.5
4.75	6.25	4.25	8.25	1.25	4
4	5	3.75	5.75	5	4.75
6.75	5.5	6.25	7.5	1.5	4
3.75	3.5	1.75	3.25	5.75	5.5
6.25	4.25	5.75	4.25	1	3.5
8.25	5.75	4	6	2.75	4
9	6.25	8	7	1	5.5
7.75	6.75	4.75	7.75	4.25	6.5
4.75	5.25	3	7.5	1.25	3.5
5.5	6	4.25	6	3.5	5.5
6.25	6.25	4.75	6.75	4	7
5.5	2.75	6.5	4.75	3.75	5.75
8.75	9.25	4.75	9.5	1	9.5
6.75	7	4	7.5	2.25	7.25
6	6	5.75	6.5	3	6.25
7.75	7.25	5.5	7.75	5.75	7
3.5	6.25	4.5	6.25	3	5
7	8	4.75	7.5	2	4.75
4.75	6.5	3	6.5	1.75	3.5
8.5	6	4.5	8.75	2.5	7.5
6.25	5	3.75	4	2	2
6.25	8	6.75	8.25	3.5	7
7.5	7.75	5.75	7.75	4	5.25
2.25	2.5	2.75	2.75	1.5	1.75
3.75	5.75	4.5	5.5	1.5	3.5
10	9.5	6.5	9	2	7.5
9	9	6	9	2.75	6.75
4.25	5.25	4.5	3.75	2.5	4.25
7.75	7.25	6.75	6	2	5.5
5.25	4.25	2	7	1	2
4.25	4.75	3.25	5.5	1.75	4.5
6.5	6.5	5	8.75	3	8.25
5	5.5	6.75	6	5.75	5.5
5.75	4.5	3.75	5.5	1.25	2.25
6	8	7	5	3	3
6.25	6.5	3	6.75	1.5	5.5
5.5	5.75	4.5	5.75	1.5	4.25
4.5	3.75	2.75	5.25	3.25	5
5.25	6.5	4	5.75	1	4
8	9	3.75	9	3	7.5
6.25	5.75	4.75	7.5	1.5	2.75
6.75	6.25	5.5	7.25	2.5	2.75
5	7	3.5	4.5	1.25	4
4.75	6.5	6.5	6.75	2.75	4.5
2.25	1.75	1.75	3	2	3.5
7.5	6	3.5	6.25	1.75	6
4.75	4.5	3.5	4.5	2.5	4
7.75	8.25	4.25	8	1	4.75
6.5	7.5	4.75	6.75	4.75	6
3.5	7.25	1	8	1	4.25
6.5	6.25	3.5	6	3.75	4.75
6.25	6	5.75	6.75	1	5.5
5.5	7.25	5.25	7.5	2	3.75
4.5	7	5.5	5.75	2.5	6
7	8.25	7.5	8.75	1.25	6.5
7.5	7.25	8	5.25	3	3.5
5.75	5	5.5	6.5	6	5.25
6.75	7	7.5	6	3.5	6.75
8.75	9.25	9.75	8.75	3.5	8.75
6.25	7.75	3.5	7.25	1.5	6.5
7	7	4.5	8.75	1	6.25
3.5	6.5	3.5	6.75	3.5	6.25
8.75	8.75	4.25	7.75	1.5	7.25
7.75	7.25	7	7.75	2	4.75
4.5	4.75	3.75	5.5	2	4.5
7.25	6.5	7	6.75	3.75	6.75
4	3.25	1.75	3.25	1	3
3.5	3.75	4.75	3.5	2.25	3.25
5.75	7.25	8.5	6.75	6	6.75
7.5	7	4.75	7	2	6
8	8	5	7	5.5	7.5
6.25	5.5	3	7	1.75	5.5
6.5	7.25	5.75	7.75	1	5.5
4.5	3.25	4.25	3.75	2.5	2.5
7.5	4	6.75	5	3.5	6.75
5.25	6	5	5.75	3.75	5
9	10	6.75	9.25	1	10
8	6.75	6.75	5.75	5	7.5
6	6.5	4.25	6.25	1	6.25
9	9.5	6.25	9.25	3.75	8.75
7.5	8.75	6	8.75	1.75	7
