Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
257b87eea6994a45f790e375742829c86d0807a12062a12a729429f6b15e17c6,7ab704e571906d9ed1f08160fc0aba9bd4afc68d7e36e2a5e26589fc6eefe692,APPROVED,Not Applicable,2024-02-28T16:14:21.503000Z,2024-02-28T17:17:03.022000Z,2024-02-28T17:17:03.873000Z,2024-02-28T17:17:03.779112Z,3762.0,CJNL5D58,1759,"German, English",71,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
7b6ecca655c8f81e4e050a3fd32caa5967a8ba78a0471cb0508c1f5e2fa67ca1,af6898296ccb509d2fe0f8aa62e733a174647b25adbf80c88156063a1a9d605c,APPROVED,Not Applicable,2024-02-28T16:11:39.098000Z,2024-02-28T16:48:37.193000Z,2024-02-28T16:48:37.906000Z,2024-02-28T16:48:37.830483Z,2219.0,CJNL5D58,1572,"German, English",61,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
88c346ca4b14bf99d58ba6f1f7b1649e7e054b9a42ab52b6e4670d5f9137e590,64204b396ccba5b640812e7a00240c3601238d0aa42c834fd0394640f663440e,APPROVED,Not Applicable,2024-02-28T16:11:53.773000Z,2024-02-28T16:42:06.069000Z,2024-03-20T00:06:23.348000Z,2024-02-28T16:42:06.542675Z,1813.0,SYSTEMDOESNTGIVETHEPERMISSIONFORCOMPLETE,113,"English, French, German, Dutch, Norwegian, Spanish, Turkish",34,Male,White,Turkey,Germany,Turkey,English,No,Full-Time
91b18de651f8ed4e844df17e2628b029c4e044b765cab8f3a42ab220927d7cdb,7e1bf310c4d449501e822f804eb450201508bbf8583642e8960204667af475d5,APPROVED,Not Applicable,2024-02-28T16:18:52.573000Z,2024-02-28T16:53:31.636000Z,2024-02-28T16:53:32.254000Z,2024-02-28T16:53:32.171673Z,2080.0,CJNL5D58,53,"English, German",19,Prefer not to say,Mixed,Germany,Germany,Germany,German,No,Due to start a new job within the next month
db3021b2a61a578683d489500472128750281f929f803a2fd71a810bbd33fe35,0e2e9ddbf170b1675753bca7a9578e9675af90c3a112b3d4801d84f2d8dc7c5e,RETURNED,Not Applicable,2024-02-28T16:18:22.978000Z,,,2024-05-06T13:45:01.197345Z,,,293,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
4714a1e8fc7e6d1b9e0e949b56b2303b5e191d1735bab9724e65db365454f4d9,f1ac4e67be87dd0c2578cd88e3ab6af4968b86bcca3fb1ca633c959467751c4c,APPROVED,Not Applicable,2024-02-28T16:13:45.563000Z,2024-02-28T16:41:58.478000Z,2024-02-28T16:41:59.169000Z,2024-02-28T16:41:59.070976Z,1693.0,CJNL5D58,60,"German, Czech",46,Male,White,Czech Republic,Germany,Germany,German,No,Full-Time
bf158ba380dda7727d7f90ed5441b9b1e99dce29b9575932351cb6bba3fe59c2,9c1f5eaeab49b2418dd0baa52dce160856bf30d2ce365ab91ab55c44f6572228,APPROVED,Not Applicable,2024-02-28T16:12:53.671000Z,2024-02-28T16:34:22.507000Z,2024-02-28T16:34:24.152000Z,2024-02-28T16:34:24.632896Z,1289.0,CJNL5D58,194,"German, Turkish, English",31,Female,Asian,Austria,Germany,Austria,Turkish,No,Full-Time
5fde9f3030c6a8bdfa8d7b52d8ec7e50c950db6de16a70616ab2826dbb63a539,486ae4bf01291de032ca77152245ef2e3ad03e98dc68e2d866d529b196656a93,APPROVED,Not Applicable,2024-02-28T16:13:25.026000Z,2024-02-28T16:43:39.106000Z,2024-02-28T16:43:40.221000Z,2024-02-28T16:43:40.121021Z,1815.0,CJNL5D58,53,"French, German, English, Gaelic, Spanish",27,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
d2f76847b5ba4603c1941d97aea2cdd115635acb8a8ed1fdae972b082f84cb2e,d53aa0949f5c2c93efe4fb8aacf06362775cb51f7c8ee9ea21f89db3b2d48155,APPROVED,Not Applicable,2024-02-28T16:22:30.646000Z,2024-02-28T17:22:19.005000Z,2024-02-28T17:23:06.492000Z,2024-02-28T17:23:23.683850Z,3589.0,CJNL5D58,135,"German, English",29,Female,White,Germany,Germany,Germany,German,No,Part-Time
651b3e141df94a0d457dbd7f725706b952592e10ced0813687abb8d705faa4ab,5f39cda79cefc85e2de2a3a5178a4c3a8a1af8550d6afc769fd480b79d5ed69d,APPROVED,Not Applicable,2024-02-28T16:13:55.014000Z,2024-02-28T16:45:58.112000Z,2024-02-28T16:45:58.940000Z,2024-02-28T16:45:58.799005Z,1924.0,CJNL5D58,470,"Arabic, English, German",38,Male,White,Syrian Arab Republic,Germany,Germany,Arabic,Yes,Full-Time
